mode,family,choices,depth,reuse,schedule,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
original-demand,early,0,16,4,mixed,219183,12255,137651,134611,146073
original-demand,early,3,0,1,eligible,62242,18147,47420,28869,48162
original-demand,early,3,0,1,mixed,67078,18147,43725,31197,52860
original-demand,early,3,0,4,eligible,225133,18147,147254,139571,155804
original-demand,early,3,0,4,mixed,210629,18147,142491,104485,152533
original-demand,early,3,1,1,eligible,78878,18353,56936,55838,64181
original-demand,early,3,1,1,mixed,83714,18353,59266,47561,68363
original-demand,early,3,1,4,eligible,290399,18353,173247,107500,262474
original-demand,early,3,1,4,mixed,217087,18353,141144,85570,142397
original-demand,early,3,16,1,eligible,331682,23474,169959,125270,178420
original-demand,early,3,16,1,mixed,335558,23474,166609,164210,170623
original-demand,early,3,16,4,eligible,1280765,23474,598593,439085,610740
original-demand,early,3,16,4,mixed,747325,23474,428517,286311,453154
original-shared,common,0,0,1,eligible,20518,7085,17709,10393,21091
original-shared,common,0,0,1,mixed,21573,7085,18876,11216,23337
original-shared,common,0,0,4,eligible,61720,7085,47899,33039,50612
original-shared,common,0,0,4,mixed,54765,7085,45260,33391,57072
original-shared,common,0,1,1,eligible,25124,7291,22239,18984,24657
original-shared,common,0,1,1,mixed,26179,7291,25742,13968,27077
original-shared,common,0,1,4,eligible,77714,7291,56598,32396,90495
original-shared,common,0,1,4,mixed,56921,7291,49684,29351,54373
original-shared,common,0,16,1,eligible,158646,17275,97241,61443,129487
original-shared,common,0,16,1,mixed,159509,17275,96848,66756,120335
original-shared,common,0,16,4,eligible,593832,17275,312223,202731,341256
original-shared,common,0,16,4,mixed,333799,17275,201662,129422,263582
original-shared,common,3,0,1,eligible,115210,35063,86574,69075,104860
original-shared,common,3,0,1,mixed,118431,35063,97010,88606,107772
original-shared,common,3,0,4,eligible,437914,35063,320056,196619,393593
original-shared,common,3,0,4,mixed,381691,35063,198522,192884,315890
original-shared,common,3,1,1,eligible,144866,34805,106827,101681,127165
original-shared,common,3,1,1,mixed,148087,34805,110302,81425,115847
original-shared,common,3,1,4,eligible,557724,34805,383776,234566,480746
original-shared,common,3,1,4,mixed,378349,34805,311338,302713,319612
original-shared,common,3,16,1,eligible,1140654,71686,588522,459188,845627
original-shared,common,3,16,1,mixed,1142915,71686,662256,495827,766457
original-shared,common,3,16,4,eligible,4505978,72638,2273483,1521669,2662018
original-shared,common,3,16,4,mixed,2414971,71686,1007138,861569,1544869
original-shared,independent,0,0,1,eligible,20374,6989,18425,13149,25742
original-shared,independent,0,0,1,mixed,21381,6989,19453,18789,23453
original-shared,independent,0,0,4,eligible,61432,6989,45143,26676,54474
original-shared,independent,0,0,4,mixed,54429,6989,44321,31674,51469
original-shared,independent,0,1,1,eligible,24980,7195,14368,13826,22940
original-shared,independent,0,1,1,mixed,25987,7195,25325,24811,26915
original-shared,independent,0,1,4,eligible,77426,7195,55472,32430,55879
original-shared,independent,0,1,4,mixed,56585,7195,48485,47697,55478
original-shared,independent,0,16,1,eligible,158502,17179,102477,97114,176519
original-shared,independent,0,16,1,mixed,159317,17179,93694,73261,104768
original-shared,independent,0,16,4,eligible,593544,17179,322200,212931,394916
original-shared,independent,0,16,4,mixed,333463,17179,199015,123983,225659
original-shared,independent,3,0,1,eligible,173679,39197,125592,97988,127884
