kind,rep,family,n,rounds,mode,total_ns,preparation_ns,setup_ns,execution_ns,observation_ns,disposal_ns,first_cold_ns,cancellation_ns,requested_bytes,peak_increment_bytes
time,1,churn-sparse,2,8,subscribed,382038,38676,128814,105368,66553,42627,177572,100536,,
time,1,churn-sparse,4,2,subscribed,632836,60972,185239,177429,129933,79263,288408,167041,,
time,1,dense,2,8,subscribed,190118,25794,32939,59735,48107,23543,88591,43612,,
time,1,unique,2,8,subscribed,434500,38571,127673,152211,71037,45008,212210,106358,,
time,1,churn-sparse,2,2,subscribed,202639,23511,87162,37192,31524,23250,97280,67394,,
time,1,unique,2,2,eager,227014,24129,131344,17238,30479,23824,109809,83557,,
time,1,dense,2,8,indexed,189142,26249,32837,55291,49320,25445,87338,39291,,
time,1,binding,2,2,indexed,185789,21477,77221,35995,29544,21552,88830,71305,,
time,1,selective,2,2,compiled,107558,21005,20535,56179,3414,6425,61933,14765,,
time,1,churn-broad,2,2,eager,275423,29940,143290,42659,33043,26491,133383,106181,,
time,1,consuming,2,2,indexed,61399,19777,15044,13976,7105,5497,38179,14843,,
time,1,consuming,4,2,subscribed,214876,26782,31258,134692,13642,8502,116172,48132,,
time,1,churn-broad,4,2,compiled,9891625,57594,177360,9519708,83974,52989,4959214,121822,,
time,1,inactive,4,2,compiled,6274276,52333,148343,5934678,82628,56294,3109698,114513,,
time,1,selective,2,8,indexed,70418,13570,21330,14498,12590,8430,36687,20061,,
time,1,churn-sparse,4,2,indexed,528182,56842,180114,92195,126593,72438,239715,129556,,
time,1,binding,4,2,subscribed,601725,56296,175785,178997,125695,64952,281148,165204,,
time,1,dense,4,2,eager,356737,42215,82463,87171,97417,47471,162020,73102,,
time,1,binding,4,2,eager,916014,57724,491385,153015,126069,87821,428513,329932,,
time,1,dense,4,8,subscribed,1210338,13449,30489,353426,382363,430611,395152,54376,,
time,1,binding,2,2,subscribed,199455,22750,81244,44264,29917,21280,96356,71810,,
time,1,consuming,2,8,subscribed,186522,22000,39535,93181,18390,13416,97689,40169,,
time,1,churn-sparse,2,2,compiled,766163,30950,82197,612366,20430,20220,382585,61047,,
time,1,dense,4,2,compiled,4487883,43571,54446,4284746,69434,35686,2236827,50414,,
time,1,reopen,2,2,eager,243822,25725,140947,18130,32835,26185,121426,86220,,
time,1,reopen,2,8,eager,368163,38520,158639,65188,63692,42124,168903,112714,,
time,1,selective,2,2,indexed,43205,12514,14250,4756,6541,5144,25398,10937,,
time,1,reopen,2,2,subscribed,190097,22144,81675,33567,31071,21640,89717,71098,,
time,2,churn-sparse,4,2,subscribed,622560,60616,179797,176178,134967,71002,284074,161491,,
time,2,churn-sparse,4,8,subscribed,1521637,157014,288296,478326,402406,195595,678842,265961,,
time,2,consuming,2,8,compiled,423183,25467,52066,317053,15677,12920,210709,32790,,
time,2,reopen,4,2,indexed,500524,54762,171103,84502,126745,63412,228762,129365,,
time,2,dense,4,2,compiled,4466769,44097,55770,4267756,64031,35115,2227031,49581,,
time,2,selective,4,2,subscribed,67730,13906,25752,9506,9780,8786,36034,23214,,
time,2,dense,4,8,eager,1039754,13410,177391,293734,368152,187067,375940,168248,,
time,2,reopen,2,2,subscribed,194013,22887,86184,33355,30892,20695,91349,68289,,
time,2,churn-sparse,4,8,compiled,25525571,127689,285961,24687258,270749,153914,12710555,222830,,
time,2,selective,4,2,eager,61512,14172,26824,4297,8321,7898,33008,18707,,
time,2,churn-broad,4,2,subscribed,751027,58280,204021,283508,133505,71713,346440,194284,,
time,2,consuming,4,8,eager,604831,31160,105695,400710,34606,32660,290436,72910,,
time,2,inactive,4,8,compiled,21965406,120402,256440,21194421,251815,142328,10912880,212591,,
time,2,churn-sparse,4,2,eager,909421,59994,516886,119382,122510,90649,424883,321593,,
time,2,selective,4,8,indexed,83894,15535,29692,13819,14394,10454,45280,24270,,
time,2,unique,4,2,compiled,8204067,53749,154180,7864583,79054,52501,4061358,114176,,
time,2,inactive,4,8,indexed,1315269,155122,267455,304900,392454,195338,574242,223084,,
time,2,churn-broad,4,8,subscribed,1860222,22295,387170,837285,404180,209292,766043,324749,,
time,2,binding,2,2,subscribed,213350,22761,95001,44275,30009,21304,110137,71992,,
time,2,unique,4,2,subscribed,640949,60032,183170,197867,132864,67016,296562,151827,,
time,2,unique,2,2,compiled,805226,31663,82498,648666,21292,21107,425062,66000,,
time,2,inactive,2,8,compiled,1583862,40019,100770,1365707,42822,34544,780943,84059,,
time,2,selective,4,8,eager,98605,17560,37956,14673,15860,12556,51689,30093,,
time,2,binding,2,8,subscribed,325795,37528,102784,78987,65320,41176,152321,91345,,
time,2,selective,2,2,eager,47669,13858,16684,4789,6560,5778,27785,12217,,
time,2,unique,2,2,subscribed,197962,21949,81694,38354,33286,22679,93568,69896,,
time,2,consuming,2,8,subscribed,183204,21674,38420,92656,17899,12555,94667,40758,,
