family,choices,depth,history,reverse,consumer,mode,counted,median_ns,min_ns,max_ns,requested_bytes,peak_excess,signal_limited
common,0,0,True,True,immediate,birth-miss-template,False,116510,113287,149255,102793,17491,False
common,0,0,True,True,immediate,birth-miss-template,True,138064,130861,166902,109318,18018,False
common,0,0,True,True,immediate,conditional,False,320377,297318,428233,352552,20578,False
common,0,0,True,True,immediate,conditional,True,330918,290398,465029,359077,21105,False
common,0,0,True,True,immediate,indexed,False,163322,136977,286453,106363,15282,False
common,0,0,True,True,immediate,indexed,True,186415,151818,230502,112888,15809,False
common,0,0,True,True,immediate,native-indexed,False,168628,153383,181642,104059,15178,False
common,0,0,True,True,immediate,native-indexed,True,165330,151371,235092,110584,15705,False
common,0,0,True,True,immediate,native-scan,False,144660,113329,170693,89103,13118,False
common,0,0,True,True,immediate,native-scan,True,161976,143407,209754,95628,13645,False
common,0,0,True,True,immediate,scan,False,133894,121379,200164,85135,12886,False
common,0,0,True,True,immediate,scan,True,162905,137824,214760,91660,13413,False
common,0,0,True,True,immediate,sealed-indexed,False,163627,146652,221257,106707,15978,False
common,0,0,True,True,immediate,sealed-indexed,True,178810,160102,244223,113232,16505,False
common,0,0,True,True,immediate,sealed-scan,False,138953,122599,168765,85479,13582,False
common,0,0,True,True,immediate,sealed-scan,True,167672,128083,206517,92004,14109,False
common,0,0,True,True,window,active-indexed,False,142842,123328,154213,95695,16786,False
common,0,0,True,True,window,active-indexed,True,168177,164979,202789,102220,17313,False
common,0,0,True,True,window,active-native-indexed,False,167582,151611,212710,94831,16810,False
common,0,0,True,True,window,active-native-indexed,True,169293,159148,198756,101356,17337,False
common,0,0,True,True,window,active-native-scan,False,156882,134031,179573,87375,15774,False
common,0,0,True,True,window,active-native-scan,True,174794,136180,211206,93900,16301,False
common,0,0,True,True,window,active-scan,False,141363,125890,149037,85327,15542,False
common,0,0,True,True,window,active-scan,True,161953,139873,197255,91852,16069,False
common,0,0,True,True,window,birth,False,95755,86784,116917,86561,17195,False
common,0,0,True,True,window,birth,True,125390,114449,127738,93086,17722,False
common,0,0,True,True,window,birth-miss,False,94302,88769,111387,86533,17203,False
common,0,0,True,True,window,birth-miss,True,137560,117247,165924,93058,17730,False
common,0,0,True,True,window,birth-miss-template,False,131594,111863,143238,102793,19979,False
common,0,0,True,True,window,birth-miss-template,True,154437,137333,162855,109318,20506,False
common,0,0,True,True,window,conditional,False,303399,291547,362387,352552,22154,False
common,0,0,True,True,window,conditional,True,345379,301682,402915,359077,22681,False
common,0,0,True,True,window,indexed,False,153963,137062,190518,106363,16858,False
common,0,0,True,True,window,indexed,True,162295,151366,190315,112888,17385,False
common,0,0,True,True,window,native-indexed,False,150882,146015,165383,104059,16754,False
common,0,0,True,True,window,native-indexed,True,178222,153903,198552,110584,17281,False
common,0,0,True,True,window,native-scan,False,144790,135075,170803,89103,14694,False
common,0,0,True,True,window,native-scan,True,173918,116075,202394,95628,15221,False
common,0,0,True,True,window,scan,False,133288,115393,159437,85135,14462,False
common,0,0,True,True,window,scan,True,144076,140898,172204,91660,14989,False
common,0,0,True,True,window,sealed-indexed,False,178725,143829,217231,106707,17554,False
common,0,0,True,True,window,sealed-indexed,True,187510,156272,216761,113232,18081,False
common,0,0,True,True,window,sealed-scan,False,132026,115572,255573,85479,15158,False
common,0,0,True,True,window,sealed-scan,True,137307,132052,145184,92004,15685,False
common,0,16,False,False,all,active-indexed,False,378115,346080,453391,241211,25508,False
common,0,16,False,False,all,active-indexed,True,178250,165788,188901,112424,17861,False
common,0,16,False,False,all,active-native-indexed,False,304216,272583,357142,208059,23110,False
common,0,16,False,False,all,active-native-indexed,True,202560,171457,213411,112680,17885,False
common,0,16,False,False,all,active-native-scan,False,304149,290114,331774,185755,22022,False
common,0,16,False,False,all,active-native-scan,True,189249,171584,216103,105224,16797,False
common,0,16,False,False,all,active-scan,False,317407,300826,341217,204859,23164,False
