case	mode	limit	status	steps	raw	failed	answers	exhausted	issued	committed_equations	lookahead_visits	projection_dereferences	max_outstanding	owner_buffered_peak	uncommitted_at_shutdown	calls	pairs	resolve_nodes	occurs_nodes	worker_completion
app-add-decompose	Threads(2)	1	pass	40	4	1	4	true	16	16	47	20	1	1	0	16	19	108	28	[(0, 0), (1, 1), (0, 2), (1, 3), (0, 4), (1, 5), (0, 6), (1, 7), (0, 8), (1, 9), (0, 10), (1, 11), (0, 12), (1, 13), (0, 14), (1, 15)]
app-add-decompose	Threads(2)	4	pass	40	4	1	4	true	16	16	67	20	2	1	0	16	19	108	28	[(1, 0), (1, 1), (1, 2), (0, 3), (1, 4), (0, 5), (1, 6), (0, 7), (1, 8), (0, 9), (1, 10), (0, 11), (1, 12), (1, 13), (1, 14), (1, 15)]
app-add-failure	Owned	0	pass	24	0	4	0	true	9	9	0	0	0	0	0	9	14	67	9	[]
app-add-failure	Shared	0	pass	24	0	4	0	true	0	0	0	0	0	0	0	0	0	0	0	[]
app-add-failure	Inline	1	pass	24	0	4	0	true	9	9	27	6	1	1	0	9	14	67	9	[]
app-add-failure	Inline	4	pass	24	0	4	0	true	9	9	33	6	2	2	0	9	14	67	9	[]
app-add-failure	Threads(1)	1	pass	24	0	4	0	true	9	9	27	6	1	1	0	9	14	67	9	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8)]
app-add-failure	Threads(1)	4	pass	24	0	4	0	true	9	9	33	6	2	1	0	9	14	67	9	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8)]
app-add-failure	Threads(2)	1	pass	24	0	4	0	true	9	9	27	6	1	1	0	9	14	67	9	[(0, 0), (1, 1), (0, 2), (1, 3), (0, 4), (1, 5), (0, 6), (1, 7), (0, 8)]
app-add-failure	Threads(2)	4	pass	24	0	4	0	true	9	9	33	6	2	1	0	9	14	67	9	[(0, 0), (1, 1), (0, 2), (1, 3), (0, 4), (1, 5), (0, 6), (1, 7), (0, 8)]
app-add-forward	Owned	0	pass	25	1	3	1	true	9	9	0	0	0	0	0	9	11	55	11	[]
app-add-forward	Shared	0	pass	25	1	3	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
app-add-forward	Inline	1	pass	25	1	3	1	true	9	9	28	8	1	1	0	9	11	55	11	[]
app-add-forward	Inline	4	pass	25	1	3	1	true	9	9	35	8	2	2	0	9	11	55	11	[]
app-add-forward	Threads(1)	1	pass	25	1	3	1	true	9	9	28	8	1	1	0	9	11	55	11	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8)]
app-add-forward	Threads(1)	4	pass	25	1	3	1	true	9	9	35	8	2	1	0	9	11	55	11	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8)]
app-add-forward	Threads(2)	1	pass	25	1	3	1	true	9	9	28	8	1	1	0	9	11	55	11	[(0, 0), (1, 1), (0, 2), (1, 3), (0, 4), (1, 5), (0, 6), (1, 7), (0, 8)]
app-add-forward	Threads(2)	4	pass	25	1	3	1	true	9	9	35	8	2	1	0	9	11	55	11	[(0, 0), (1, 1), (0, 2), (1, 3), (0, 4), (1, 5), (0, 6), (1, 7), (0, 8)]
app-add-left	Owned	0	pass	55	1	6	1	true	24	24	0	0	0	0	0	24	38	229	33	[]
app-add-left	Shared	0	pass	55	1	6	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
app-add-left	Inline	1	pass	55	1	6	1	true	24	24	62	24	1	1	0	24	38	229	33	[]
app-add-left	Inline	4	pass	55	1	6	1	true	24	24	87	24	2	2	0	24	38	229	33	[]
app-add-left	Threads(1)	1	pass	55	1	6	1	true	24	24	62	24	1	1	0	24	38	229	33	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21), (0, 22), (0, 23)]
app-add-left	Threads(1)	4	pass	55	1	6	1	true	24	24	87	24	2	1	0	24	38	229	33	[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (0, 21), (0, 22), (0, 23)]
app-add-left	Threads(2)	1	pass	55	1	6	1	true	24	24	62	24	1	1	0	24	38	229	33	[(0, 0), (1, 1), (0, 2), (1, 3), (0, 4), (1, 5), (0, 6), (1, 7), (0, 8), (1, 9), (0, 10), (1, 11), (0, 12), (1, 13), (0, 14), (1, 15), (0, 16), (1, 17), (0, 18), (1, 19), (0, 20), (1, 21), (0, 22), (1, 23)]
app-add-left	Threads(2)	4	pass	55	1	6	1	true	24	24	87	24	2	1	0	24	38	229	33	[(0, 0), (1, 1), (0, 2), (1, 3), (0, 4), (1, 5), (0, 6), (1, 7), (0, 8), (1, 9), (0, 10), (1, 11), (0, 12), (1, 13), (0, 14), (1, 15), (0, 16), (1, 17), (0, 18), (1, 19), (0, 20), (1, 21), (0, 22), (1, 23)]
app-add-repeated	Owned	0	pass	46	1	5	1	true	20	20	0	0	0	0	0	20	26	146	25	[]
app-add-repeated	Shared	0	pass	46	1	5	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
app-add-repeated	Inline	1	pass	46	1	5	1	true	20	20	52	31	1	1	0	20	26	146	25	[]
