case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
grid-carry-k0-w1-n16	Persistent	true	20	1	18	0	0	0	0	2	0	0	1	1	1	0	85	79	0	18	139	17	0	0	1361	45124	19123	42133	40253	90
grid-carry-k0-w1-n16	Copy	true	20	1	18	0	0	0	0	2	0	0	1	1	1	0	85	79	0	18	139	17	0	0	1361	45124	19117	42127	40247	66
grid-carry-k0-w1-n128	Persistent	true	132	1	130	0	0	0	0	2	0	0	1	1	1	0	785	900	0	130	8259	129	0	0	67935	1532844	833029	1703543	1690015	3202
grid-carry-k0-w1-n128	Copy	true	132	1	130	0	0	0	0	2	0	0	1	1	1	0	785	900	0	130	8259	129	0	0	67935	1532844	833023	1703537	1690009	2924
grid-carry-k0-w8-n0	Persistent	true	18	8	9	0	0	0	0	9	0	0	1	1	1	0	55	37	0	9	10	10	0	0	256	14620	3736	8554	7778	21
grid-carry-k0-w8-n0	Copy	true	18	8	9	0	0	0	0	9	0	0	1	1	1	0	55	37	0	9	10	10	0	0	256	14620	3730	8548	7772	27
grid-carry-k0-w8-n16	Persistent	true	34	8	25	0	0	0	0	9	0	0	1	1	1	0	206	141	0	25	146	17	0	0	1548	54508	19466	43036	40596	112
grid-carry-k0-w8-n16	Copy	true	34	8	25	0	0	0	0	9	0	0	1	1	1	0	206	141	0	25	146	17	0	0	1548	54508	19460	43030	40590	103
grid-carry-k0-w8-n128	Persistent	true	146	8	137	0	0	0	0	9	0	0	1	1	1	0	906	975	0	137	8266	129	0	0	68136	1543172	833372	1704446	1690358	3170
grid-carry-k0-w8-n128	Copy	true	146	8	137	0	0	0	0	9	0	0	1	1	1	0	906	975	0	137	8266	129	0	0	68136	1543172	833366	1704440	1690352	3186
grid-carry-k0-w64-n0	Persistent	true	130	64	65	0	0	0	0	65	0	0	1	1	1	0	743	460	0	65	66	66	0	0	1948	110164	6482	29444	24188	201
grid-carry-k0-w64-n0	Copy	true	130	64	65	0	0	0	0	65	0	0	1	1	1	0	743	460	0	65	66	66	0	0	1948	110164	6476	29438	24182	248
grid-carry-k0-w64-n16	Persistent	true	146	64	81	0	0	0	0	65	0	0	1	1	1	0	1421	761	0	81	202	66	0	0	3393	160517	22212	62008	55088	238
grid-carry-k0-w64-n16	Copy	true	146	64	81	0	0	0	0	65	0	0	1	1	1	0	1421	761	0	81	202	66	0	0	3393	160517	22206	62002	55082	226
grid-carry-k0-w64-n128	Persistent	true	258	64	193	0	0	0	0	65	0	0	1	1	1	0	2035	1667	0	193	8322	129	0	0	69912	1633028	836118	1711672	1693104	3265
grid-carry-k0-w64-n128	Copy	true	258	64	193	0	0	0	0	65	0	0	1	1	1	0	2035	1667	0	193	8322	129	0	0	69912	1633028	836112	1711666	1693098	3650
grid-carry-k0-w256-n0	Persistent	true	514	256	257	0	0	0	0	257	0	0	1	1	1	0	3681	2220	0	257	258	258	0	0	8352	462388	15892	101092	80446	817
grid-carry-k0-w256-n0	Copy	true	514	256	257	0	0	0	0	257	0	0	1	1	1	0	3681	2220	0	257	258	258	0	0	8352	462388	15886	101086	80440	827
grid-carry-k0-w256-n16	Persistent	true	530	256	273	0	0	0	0	257	0	0	1	1	1	0	6290	3256	0	273	394	258	0	0	10499	565397	31622	133626	111346	695
