case	mode	pass	quanta	projected_steps	expansions	projected_applications	introductions	projected_introductions	splits	failed	raw	answers	support_reads	support_writes	occurrence_scans	binding_scans	match_candidates	term_visits	term_copies	unification_pairs	occurs_visits	previewed	queue_scans	queue_refs	work_nodes	max_frontier	pending	retained_occurrences	variables	occurrence_births	binding_edges	tokens	support_memberships	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
grid-carry-k1-w256-n16	Ready	true	536	1048	257	513	274	530	1	0	2	2	1620	2200	17446	8	515	35862	267452	2	2	1048	1560	515	277	2	0	17	1	274	2	257	1100	1	0	540488	14193667	39484	195633	195145	30134
grid-carry-k1-w256-n128	Singleton	true	1160	1160	513	513	642	642	1	0	2	2	2073	3096	132617	8	515	11086	358628	2	2	1160	1160	515	645	2	0	130	1	642	2	512	1548	1	0	790663	20841051	1263034	3597592	3597104	45814
grid-carry-k1-w256-n128	Ready	true	648	1160	257	513	386	642	1	0	2	2	2068	3096	132358	8	515	43982	291812	2	2	1160	1672	515	389	2	0	129	1	386	2	257	1548	1	0	655923	17365195	1263030	3492771	3492283	42899
grid-carry-k2-w0-n0	Singleton	true	19	19	3	3	3	3	3	0	4	4	82	98	14	35	7	31	98	6	6	19	19	9	12	4	0	1	2	3	4	2	40	8	0	348	31523	4654	15373	14885	60
grid-carry-k2-w0-n0	Ready	true	18	19	2	3	3	3	3	0	4	4	81	98	14	35	7	28	96	6	6	19	20	9	9	4	0	1	2	3	4	2	40	8	0	342	31073	4650	15369	14881	57
grid-carry-k2-w0-n16	Singleton	true	35	35	3	3	19	19	3	0	4	4	242	418	142	35	7	167	778	6	6	35	35	9	28	4	0	17	2	19	4	2	168	8	0	3630	134587	44792	131647	131159	276
grid-carry-k2-w0-n16	Ready	true	34	35	2	3	19	19	3	0	4	4	241	418	142	35	7	164	776	6	6	35	36	9	25	4	0	17	2	19	4	2	168	8	0	3624	134137	44788	131643	131155	221
grid-carry-k2-w0-n128	Singleton	true	147	147	3	3	131	131	3	0	4	4	1362	2658	1038	35	7	8287	41378	6	6	147	147	9	140	4	0	129	2	131	4	2	1064	8	0	184222	4725587	2087618	5875409	5874921	12094
grid-carry-k2-w0-n128	Ready	true	146	147	2	3	131	131	3	0	4	4	1361	2658	1038	35	7	8284	41376	6	6	147	148	9	137	4	0	129	2	131	4	2	1064	8	0	184216	4725137	2087614	5875405	5874917	9582
grid-carry-k2-w1-n0	Singleton	true	27	27	7	7	7	7	3	0	4	4	121	114	46	35	11	52	171	6	6	27	27	13	16	4	0	4	2	7	4	3	48	8	0	495	43598	4703	16889	16401	71
grid-carry-k2-w1-n0	Ready	true	20	27	3	7	4	7	3	0	4	4	93	114	22	35	11	55	145	6	6	27	34	13	10	4	0	1	2	4	4	3	48	8	0	436	39790	4699	15658	15170	66
