case	mode	pass	steps	applications	expansions	cache_hits	cache_misses	cache_retained	rules_examined	occurrence_scans	candidates	binding_reads	term_visits	unification_pairs	occurs_visits	fresh_variables	work_nodes	snapshot_entries	introductions	splits	failed	raw	answers	max_frontier	pending	retained_roots	retained_bindings	retained_pending	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
carry-k1-w1-n0	Cached	true	12	3	2	1	2	2	9	5	5	6	31	2	2	1	6	1	4	1	0	2	2	2	0	0	0	0	1	0	186	18801	3190	11726	8895	24
carry-k1-w1-n3	General	true	15	3	3	0	0	0	9	28	5	6	51	2	2	1	10	4	7	1	0	2	2	2	0	0	0	0	1	0	312	21749	4538	12177	9280	24
carry-k1-w1-n3	Local	true	15	3	3	0	0	0	9	5	5	6	51	2	2	1	10	4	7	1	0	2	2	2	0	0	0	0	1	0	308	21637	4536	12175	9278	29
carry-k1-w1-n3	Cached	true	15	3	2	1	2	2	9	5	5	6	49	2	2	1	9	4	7	1	0	2	2	2	0	0	0	0	1	0	303	22476	4537	14261	11814	29
carry-k1-w4-n0	General	true	24	9	9	0	0	0	21	22	11	6	66	2	2	1	13	1	10	1	0	2	2	2	0	0	0	0	1	0	459	36461	3338	10551	6508	36
carry-k1-w4-n0	Local	true	24	9	9	0	0	0	21	11	11	6	66	2	2	1	13	1	10	1	0	2	2	2	0	0	0	0	1	0	449	36373	3336	10549	6506	40
carry-k1-w4-n0	Cached	true	24	9	5	4	5	5	21	11	11	6	58	2	2	1	9	1	10	1	0	2	2	2	0	0	0	0	1	0	411	35907	3337	15250	12693	36
carry-k1-w4-n3	General	true	27	9	9	0	0	0	21	58	11	6	84	2	2	1	16	4	13	1	0	2	2	2	0	0	0	0	1	0	576	40304	4685	12861	9427	48
carry-k1-w4-n3	Local	true	27	9	9	0	0	0	21	11	11	6	84	2	2	1	16	4	13	1	0	2	2	2	0	0	0	0	1	0	566	40048	4683	12859	9425	34
carry-k1-w4-n3	Cached	true	27	9	5	4	5	5	21	11	11	6	76	2	2	1	12	4	13	1	0	2	2	2	0	0	0	0	1	0	528	39582	4684	18059	15612	42
carry-k2-w0-n0	General	true	19	3	3	0	0	0	11	14	7	22	55	6	6	2	12	10	3	3	0	4	4	4	0	0	0	0	8	0	287	28337	4642	13683	10300	30
carry-k2-w0-n0	Local	true	19	3	3	0	0	0	11	7	7	22	55	6	6	2	12	10	3	3	0	4	4	4	0	0	0	0	8	0	283	28281	4640	13681	10298	28
carry-k2-w0-n0	Cached	true	19	3	2	1	2	2	11	7	7	22	51	6	6	2	9	10	3	3	0	4	4	4	0	0	0	0	8	0	280	29119	4641	16166	12783	28
carry-k2-w0-n3	General	true	22	3	3	0	0	0	11	38	7	22	85	6	6	2	15	19	6	3	0	4	4	4	0	0	0	0	8	0	468	34074	6823	18323	15625	39
carry-k2-w0-n3	Local	true	22	3	3	0	0	0	11	7	7	22	85	6	6	2	15	19	6	3	0	4	4	4	0	0	0	0	8	0	464	33930	6821	18321	15623	31
carry-k2-w0-n3	Cached	true	22	3	2	1	2	2	11	7	7	22	81	6	6	2	12	19	6	3	0	4	4	4	0	0	0	0	8	0	461	34768	6822	20806	18108	39
carry-k2-w1-n0	General	true	27	7	7	0	0	0	19	22	11	22	76	6	6	2	16	10	7	3	0	4	4	4	0	0	0	0	8	0	393	39696	4691	14861	10349	36
carry-k2-w1-n0	Local	true	27	7	7	0	0	0	19	11	11	22	76	6	6	2	16	10	7	3	0	4	4	4	0	0	0	0	8	0	385	39608	4689	14859	10347	32
carry-k2-w1-n0	Cached	true	27	7	3	4	3	3	19	11	11	22	66	6	6	2	10	10	7	3	0	4	4	4	0	0	0	0	8	0	353	37827	4690	17512	13949	36
carry-k2-w1-n3	General	true	30	7	7	0	0	0	19	58	11	22	106	6	6	2	19	19	10	3	0	4	4	4	0	0	0	0	8	0	574	45497	6872	18883	15674	47
carry-k2-w1-n3	Local	true	30	7	7	0	0	0	19	11	11	22	106	6	6	2	19	19	10	3	0	4	4	4	0	0	0	0	8	0	566	45257	6870	18881	15672	45
carry-k2-w1-n3	Cached	true	30	7	3	4	3	3	19	11	11	22	96	6	6	2	13	19	10	3	0	4	4	4	0	0	0	0	8	0	534	43476	6871	21699	19274	47
carry-k2-w4-n0	General	true	51	19	19	0	0	0	43	46	23	22	139	6	6	2	28	10	19	3	0	4	4	4	0	0	0	0	8	0	903	78477	4838	16096	10496	42
carry-k2-w4-n0	Local	true	51	19	19	0	0	0	43	23	23	22	139	6	6	2	28	10	19	3	0	4	4	4	0	0	0	0	8	0	883	78293	4836	16094	10494	65
carry-k2-w4-n0	Cached	true	51	19	6	13	6	6	43	23	23	22	111	6	6	2	13	10	19	3	0	4	4	4	0	0	0	0	8	0	704	67185	4837	21276	18035	55
