case	mode	pass	steps	pairs	root_reads	output_root_reads	absence_visits	occurs_visits	splits	copied_entries	completed_regions	failed_regions	eager_projection_visits	output_projection_visits	eager_nodes	bindings	raw	answers	max_frontier	retained_regions	observer_pairs	observer_scans	observer_backtracks	allocation_calls	construct_requested	solve_requested	observe_requested	requested_bytes	baseline_live	peak_live	final_live	construct_us	solve_us	observe_us
correlated-k0-w1	Eager	true	3	2	8	0	0	0	0	0	1	0	4	0	4	0	1	1	1	1	0	0	0	29	296	992	520	1808	921	2225	2001	0	4	0
correlated-k0-w1	Named	true	3	2	4	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	19	296	712	520	1528	921	2225	2001	0	3	0
correlated-k0-w8	Eager	true	10	9	36	0	0	0	0	0	1	0	18	0	18	0	1	1	1	1	0	0	0	115	1318	2318	520	4156	921	4269	3023	2	10	0
correlated-k0-w8	Named	true	10	9	18	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	63	1318	1016	520	2854	921	3247	3023	2	4	0
correlated-k0-w64	Eager	true	66	65	260	0	0	0	0	0	1	0	130	0	130	0	1	1	1	1	0	0	0	805	9494	12558	520	22572	922	22686	11200	17	44	1
correlated-k0-w64	Named	true	66	65	130	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	417	9494	3080	520	13094	922	13208	11200	18	10	1
correlated-k0-w256	Eager	true	258	257	1028	0	0	0	0	0	1	0	514	0	514	0	1	1	1	1	0	0	0	3172	37526	47910	520	85956	923	86071	39233	73	178	0
correlated-k0-w256	Named	true	258	257	514	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1632	37526	10400	520	48446	923	48561	39233	109	31	3
correlated-k1-w0	Eager	true	6	4	20	0	0	0	0	0	2	0	8	0	8	0	2	1	2	2	0	0	0	57	554	1480	824	2858	921	2707	2419	1	4	2
correlated-k1-w0	Named	true	6	4	12	0	0	0	1	1	2	0	0	0	0	0	2	1	2	2	0	0	0	35	554	904	824	2282	921	2707	2419	1	2	2
correlated-k1-w1	Eager	true	8	6	28	0	0	0	0	0	2	0	12	0	12	0	2	1	2	2	0	0	0	75	700	1772	824	3296	921	3073	2565	1	6	2
correlated-k1-w1	Named	true	7	5	14	0	0	0	1	1	2	0	0	0	0	0	2	1	2	2	0	0	0	41	700	904	824	2428	921	2853	2565	1	3	2
correlated-k1-w8	Eager	true	22	20	84	0	0	0	0	0	2	0	40	0	40	0	2	1	2	2	0	0	0	204	1722	4224	824	6770	921	6547	3587	2	14	2
