kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,3,before-success,conditional,1,1033182,935689,42552,40485,14456,868189,893045,,
time,3,before-success,graph,8,13748882,13438397,233808,20749,55928,415545,345056,,
time,3,unique,conditional,1,8579428,8444986,46261,53958,34223,8335251,8092631,,
time,3,before-clash,graph,1,88121,52835,14250,10060,10976,,65978,,
time,3,after-clash,conditional,1,10746581,10650914,45272,28835,21560,,10791320,,
time,3,trivial,graph,8,14602564,14520930,12807,22427,46400,312204,296955,,
time,3,trivial,direct,8,765657,699197,10133,22660,33667,87675,88596,,
time,3,before-success,graph,1,1599994,1544448,18309,26802,10435,363729,332892,,
time,3,before-success,ordinary,8,1253588,820227,290392,16482,126487,131978,125288,,
time,3,after-clash,graph,1,3557082,3508915,17766,14583,15818,,3552321,,
time,3,before-clash,direct,8,636995,281771,302898,22346,29980,,75765,,
time,3,after-clash,direct,8,818131,450292,313833,22704,31302,,99026,,
time,3,after-clash,exact,8,890616,509335,320584,23661,37036,,107142,,
time,3,trivial,direct,1,94511,65998,1641,20396,6476,68215,58253,,
time,3,after-clash,graph,8,27781780,27559668,163379,27883,30850,,3455561,,
time,3,after-success,exact,8,1308930,838856,313004,16953,140117,135182,123943,,
time,3,unique,exact,1,198573,112329,35198,37589,13457,164110,155582,,
time,3,before-success,indexed,1,802242,711987,40103,36341,13811,586147,699003,,
time,3,before-clash,conditional,1,146979,75471,40010,22493,9005,,117523,,
time,3,after-clash,exact,1,119358,63102,34200,14625,7431,,98930,,
time,3,after-success,direct,8,1283281,810056,318478,16153,138594,126350,130043,,
time,3,trivial,conditional,8,7018162,6907023,18330,38419,54390,758428,701944,,
time,3,trivial,indexed,8,2451620,2289483,85357,49267,27513,267106,253985,,
time,3,after-success,ordinary,8,1228490,780557,297559,15950,134424,127136,132655,,
time,3,after-clash,indexed,1,522011,438639,39665,39040,4667,,507231,,
time,3,before-success,exact,1,188198,113726,35765,28662,10045,155075,147359,,
time,3,before-clash,graph,8,532043,371727,123094,19450,17772,,62772,,
time,3,after-clash,dependencies,1,106740,51718,33658,14344,7020,,94016,,
time,3,trivial,conditional,1,896724,844594,1794,39338,10998,754564,721660,,
time,3,unique,exact,8,1478760,960177,325447,25941,167195,159092,140782,,
time,3,unique,dependencies,8,2173081,1672822,314340,26346,159573,247049,232868,,
time,3,trivial,dependencies,1,102556,72879,1926,20853,6898,74102,64768,,
time,3,unique,ordinary,8,1365630,884454,299738,24183,157255,163852,136668,,
time,3,after-success,graph,8,32655396,32333469,231784,28906,61237,385523,357897,,
time,3,unique,direct,1,193411,109177,35978,36129,12127,159258,142223,,
time,3,after-success,conditional,8,73821245,73221469,416013,48765,134998,9065275,9050670,,
time,3,after-success,graph,1,4156558,4096757,18494,30405,10902,396957,359598,,
time,3,after-clash,direct,1,110283,53226,34487,15528,7042,,101672,,
time,3,after-success,conditional,1,8494789,8389574,46059,43282,15874,8268183,8119771,,
time,3,before-success,dependencies,1,171815,97771,36038,28853,9153,139513,128792,,
time,3,before-clash,direct,1,91968,33332,34006,12532,12098,,72388,,
time,3,before-clash,exact,8,691070,314343,318799,24387,33541,,81339,,
time,3,unique,ordinary,1,193672,103982,37010,41022,11658,160886,138128,,
time,3,before-clash,conditional,8,1044385,602352,366072,35945,40016,,131295,,
time,3,before-success,direct,1,182990,108754,36158,28308,9770,150178,141475,,
time,3,trivial,exact,8,675328,616997,8636,19144,30551,71104,64960,,
time,3,before-success,ordinary,1,172818,101330,35154,26992,9342,141517,141261,,
time,3,after-clash,conditional,8,85962663,85476903,384361,37126,64273,,10800354,,
time,3,unique,graph,1,4254527,4179559,18558,41429,14981,403477,386718,,
time,3,after-success,indexed,1,689779,590356,44129,47002,8292,506779,588359,,
time,3,unique,graph,8,33626915,33221673,182111,28946,194185,443714,405699,,
time,3,after-success,dependencies,8,1136225,684167,300128,16632,135298,119462,114300,,
time,3,before-clash,dependencies,1,83393,29424,34795,12489,6685,,72100,,
time,3,before-success,conditional,8,8011158,7453911,397957,33910,125380,851693,841996,,
time,3,before-success,exact,8,1351133,903189,303294,16897,127753,140925,134593,,
time,3,after-success,ordinary,1,177444,102757,37561,28168,8958,145207,133537,,
time,3,after-success,exact,1,190607,113023,38118,28760,10706,156499,141293,,
time,3,trivial,indexed,1,335164,285625,2702,40777,6060,253645,233092,,
time,3,unique,indexed,1,764495,651074,41469,61140,10812,551799,641721,,
time,3,before-clash,exact,1,97980,35186,36177,13170,13447,,82874,,
time,3,trivial,graph,1,1820399,1787695,1722,22127,8855,302729,294297,,
time,3,after-clash,indexed,8,4051644,3657244,348113,39890,6397,,513208,,
time,3,before-clash,indexed,1,464082,352957,39359,67432,4334,,401676,,
time,3,unique,conditional,8,74210582,73581893,404744,29691,194254,8836657,8927731,,
time,3,before-clash,dependencies,8,610329,236453,315601,26089,32186,,71949,,
time,3,after-clash,ordinary,1,109106,52069,35236,14732,7069,,107020,,
time,3,after-success,direct,1,175252,100537,37147,27387,10181,142679,139610,,
time,4,unique,ordinary,1,183196,101607,35231,35217,11141,151285,137346,,
time,4,before-clash,indexed,8,3487291,3071840,365131,43647,6673,,442514,,
time,4,before-success,graph,8,13793398,13502529,218036,17551,55282,375459,340445,,
time,4,after-clash,indexed,8,4212068,3798244,359301,48280,6243,,545105,,
time,4,after-success,indexed,1,644674,549135,40618,46752,8169,460524,567361,,
time,4,after-clash,ordinary,1,108785,51564,35073,14991,7157,,95696,,
time,4,trivial,graph,8,15375567,15288653,13975,25696,47243,367358,295336,,
time,4,before-clash,exact,8,685197,308323,317477,24766,34631,,83545,,
time,4,after-success,graph,8,32975061,32658854,226897,28594,60716,388559,385377,,
time,4,before-success,dependencies,1,173267,98847,36554,28400,9466,140080,130069,,
time,4,unique,dependencies,1,289584,200600,37631,38471,12882,253667,238176,,
time,4,trivial,dependencies,1,110247,80181,1630,20712,7724,77620,100243,,
time,4,after-clash,direct,1,106035,51731,33457,14093,6754,,98413,,
time,4,unique,ordinary,8,1383101,892036,310177,28014,152874,163561,131508,,
time,4,after-clash,exact,1,120667,63307,34876,15011,7473,,102040,,
time,4,after-success,dependencies,1,151485,81942,34155,25980,9408,120201,111967,,
time,4,before-success,conditional,8,8400086,7801893,423772,40505,133916,945279,832478,,
time,4,after-success,ordinary,1,169150,96081,36548,26982,9539,137802,126706,,
time,4,before-success,exact,1,191665,115274,36718,29465,10208,157440,147651,,
time,4,trivial,graph,1,1934789,1899397,1717,23925,9750,316671,308293,,
time,4,trivial,dependencies,8,690392,630459,9535,20288,30110,74989,62080,,
time,4,before-clash,conditional,8,1000168,566029,360089,34933,39117,,116606,,
time,4,before-success,ordinary,8,1318861,865627,304670,17278,131286,137312,132754,,
time,4,before-clash,indexed,1,448970,353729,44823,45910,4508,,405920,,
time,4,after-success,direct,8,1279600,812697,313600,15356,137947,124267,117482,,
time,4,unique,dependencies,8,2070477,1574935,305788,24975,164779,232042,226745,,
time,4,after-clash,indexed,1,853761,768694,39104,41727,4236,,1491742,,
